# This target list is based on HST GLASS observations of M1149
# My program makes use of up to 4 MSA configurations. Thus,
# I expect to be able to observe up to 200 targets. A list of 817 
# targets is needed to make sure enough targets are available and
# optimally placed for any orientation. 
#
# The targets were selected on the basis of the following criteria:
# continuum observations: zphot > 2, 22 < m160 < 25.5
# emission lines : zphot > 3, m160> 25
#
# I plan to include at APT submission a filler list if necessary
# to make sure that no slitlets are left behind
#
# the columns are a target id, RA in HMS, Dec in DMS, photo-z, mag in F160W and mag error
#
#         id         RAh         RAm         RAs        DECd        DECm        DECs       zphot         mag        emag
#
         952          11          49       36.51          22          24       24.12       4.713       27.46     0.06635
         953          11          49        31.3          22          24       24.06       4.786       26.76     0.03535
         954          11          49       37.31          22          24       23.99       5.229       26.89     0.05572
         955          11          49       39.31          22          24        23.9       4.296       25.94     0.02127
         957          11          49       32.53          22          24       23.09        2.78       25.14     0.01353
         959          11          49       39.66          22          24       23.88        3.69       27.88      0.1219
         962          11          49       37.01          22          24       21.87       2.804       25.21     0.01237
         969          11          49       40.47          22          24       23.04       5.924       26.86     0.04112
         972          11          49       39.74          22          24        22.6       4.491       25.95     0.03279
         973          11          49       39.71          22          24       22.29       5.173       26.25     0.02594
         974          11          49        33.2          22          24       21.32       4.301       27.39      0.1032
         977          11          49       40.15          22          24       22.83       5.009       28.73      0.2093
         993          11          49       32.41          22          24       21.48       3.762       28.39      0.1461
        1002          11          49       34.03          22          24       16.02        4.04       25.96     0.02408
        1006          11          49       35.05          22          24          21        4.27       27.97     0.09203
        1008          11          49       37.68          22          24       21.14       4.482       26.92     0.04132
        1009          11          49       32.11          22          24       21.11       3.612       27.65     0.07335
        1020          11          49       30.32          22          24        20.9       4.014       25.74      0.1049
        1021          11          49       33.05          22          24          21       5.675       28.69      0.1874
        1029          11          49       40.43          22          24       20.59       5.887       26.23     0.02798
        1038          11          49       32.89          22          24       20.44       4.029       27.94      0.1275
        1048          11          49       38.43          22          24       19.91       4.373       26.23     0.02531
        1050          11          49       31.05          22          24       20.05       4.329       27.63      0.1377
        1051          11          49       32.48          22          24       19.75       4.208       26.79     0.03668
        1054          11          49       30.91          22          24       19.68        4.58       27.15      0.1545
        1055          11          49       31.34          22          24       19.67       4.892       27.94      0.1305
        1056          11          49        34.9          22          24       19.58        4.74       27.99      0.1259
        1064          11          49       31.67          22          24       19.29       3.426       28.19      0.1287
        1065          11          49          39          22          24       19.24       5.631       27.17     0.06321
        1071          11          49       39.34          22          24       18.32        6.34        26.1     0.04659
        1072          11          49        39.8          22          24       18.88       3.703       27.26      0.0643
        1075          11          49       40.76          22          24       18.86       3.264       28.23      0.1331
        1077          11          49       34.75          22          24       17.95       4.468       26.98      0.1026
        1078          11          49       32.03          22          24       18.25       4.792        27.3     0.05612
        1085          11          49       37.24          22          24       18.14       4.188       28.19      0.1192
        1089          11          49       36.58          22          24        17.7       4.195       26.76     0.03648
        1090          11          49       31.91          22          24       17.66        4.38        27.1     0.05743
        1091          11          49       31.86          22          24       17.49       3.838       27.96     0.09663
        1094          11          49       33.09          22          24        17.5       4.806       26.96     0.04527
        1095          11          49       39.31          22          24       17.24       4.485       25.32     0.01132
        1096          11          49       28.95          22          24       17.37       4.106       25.06     0.06774
        1097          11          49       40.65          22          24       13.68       3.153       25.38     0.01296
        1098          11          49       33.55          22          24       17.38       4.382       27.65     0.07311
        1100          11          49       35.66          22          24       9.292       3.377        27.6     0.06831
        1101          11          49       35.53          22          24       9.572       5.631       26.45     0.05414
        1111          11          49       38.48          22          24       16.41       4.217       26.57     0.06351
        1112          11          49       35.63          22          24        9.72       4.545       27.01     0.05381
        1113          11          49       38.48          22          24       18.46       3.981       27.92     0.09248
        1115          11          49       37.66          22          24       16.53       2.696       25.28     0.01458
        1117          11          49       35.26          22          24       17.06       4.917       28.09      0.1071
        1118          11          49       38.87          22          24       16.85        5.09       26.33     0.04203
        1121          11          49       32.93          22          24       16.63        2.95       25.47     0.01176
        1122          11          49       35.21          22          24       16.81       5.973       28.09      0.1216
        1125          11          49       39.26          22          24       16.67       3.547       27.73     0.07907
        1127          11          49       33.11          22          24       16.56       4.118       27.56     0.06213
        1128          11          49        33.1          22          24       15.32        2.77       23.32    0.003356
        1134          11          49       31.44          22          24       16.39       3.753       27.99      0.1018
        1136          11          49       31.36          22          24       15.96       3.998       27.34     0.06386
        1139          11          49       38.15          22          24       15.39       3.061       27.43      0.0671
        1143          11          49       34.78          22          24       15.65       3.925       28.97      0.2415
        1144          11          49       30.12          22          24       15.44        2.28       25.32     0.04351
        1158          11          49       37.91          22          24       12.54       2.661       24.77     0.00816
        1162          11          49       32.48          22          24       9.965        4.21       25.58     0.03406
        1163          11          49        32.5          22          24       4.666       2.411       22.04     0.01945
        1168          11          49       32.63          22          24       9.238       4.818       23.19    0.000761
        1170          11          49       39.76          22          24       20.85       3.365       27.75     0.09509
        1173          11          49       38.55          22          24        14.8       4.813       28.63      0.1817
        1174          11          49       31.19          22          24       14.34       2.861       25.23     0.01334
        1178          11          49       40.08          22          24       14.58        4.25       27.85      0.1281
        1183          11          49       34.64          22          24       14.14       3.807       27.91      0.1298
        1184          11          49          33          22          24       13.87       4.151       27.12      0.0602
        1188          11          49       36.63          22          24       13.71       4.314       27.66      0.1166
        1191          11          49       34.18          22          24       9.248       3.149       25.32     0.01701
        1192          11          49       34.32          22          24       12.74        3.14       25.96    0.007798
        1193          11          49       34.27          22          24       11.47       3.146       22.12    0.001673
        1197          11          49       35.05          22          24       13.16       4.654       26.95     0.06109
        1198          11          49       36.91          22          24       13.22       4.139       28.28      0.1789
        1210          11          49       41.08          22          24       12.82       4.443       27.46       0.083
        1212          11          49          34          22          24       12.67         3.7       27.65     0.07832
        1214          11          49       40.62          22          24       12.57       4.009       27.19     0.07744
        1215          11          49        33.1          22          24       12.37       4.115       27.38     0.07076
        1217          11          49        32.5          22          24       12.34       4.186       27.68      0.1283
        1218          11          49       35.32          22          24       12.14       4.123       26.71     0.05585
        1228          11          49       40.92          22          24       12.23       3.275       27.63     0.07777
        1232          11          49       34.69          22          24       13.69       4.204       28.63      0.1764
        1235          11          49       33.33          22          24       11.75       3.832        27.4     0.05823
        1236          11          49       31.03          22          24       11.61       6.602       26.45     0.09605
        1239          11          49       38.85          22          24       11.34       3.512       28.12      0.1308
        1241          11          49       34.45          22          24       10.94       3.975       26.76     0.04459
        1242          11          49       34.94          22          24       11.14       3.693       28.18      0.1406
        1244          11          49       40.16          22          24       11.11       3.806       28.21      0.1303
        1246          11          49       40.98          22          24       10.06        3.01       24.63    0.007078
        1247          11          49       36.37          22          24       10.95       4.091       27.47        0.06
        1253          11          49       33.27          22          24       10.72         4.6       28.15      0.1142
        1258          11          49       40.48          22          23        55.2       4.965       27.07     0.04434
        1262          11          49       40.27          22          24       6.372       3.108       25.58     0.03088
        1273          11          49       35.22          22          24       9.986       4.361       27.47     0.06221
        1275          11          49       31.51          22          24       9.468       2.345       25.42     0.01158
        1313          11          49        33.8          22          24        9.49         3.7       27.34     0.05998
        1315          11          49       38.39          22          24        8.05       5.285       27.03      0.0511
        1323          11          49       39.61          22          24       7.956        3.59       25.23     0.01063
        1324          11          49       29.45          22          24        8.78        3.61       25.79     0.08476
        1329          11          49       39.11          22          24       8.341        2.79       24.66    0.005495
        1333          11          49       34.75          22          24       9.115       5.049       28.59      0.1771
        1337          11          49       38.18          22          24       8.651       3.725       25.59     0.01884
        1340          11          49       30.95          22          24       8.716       5.571       25.01     0.02191
        1341          11          49       30.23          22          24       8.824       3.848       26.69      0.1243
        1345          11          49       35.22          22          24        8.51       4.607       27.84     0.08428
        1348          11          49       39.95          22          24       8.435        3.08        28.5       0.167
        1350          11          49       40.65          22          24       8.028       4.023       27.01     0.03322
        1351          11          49       40.69          22          24       7.445       4.051       24.93     0.01397
        1352          11          49          39          22          24        8.24       5.331       28.42      0.1783
        1353          11          49       40.85          22          24       7.729       2.407       25.07    0.008349
        1359          11          49       30.01          22          24       7.988       3.705       26.91      0.1591
        1361          11          49       37.19          22          24       7.816       4.097       26.91     0.04952
        1364          11          49       33.79          22          24       4.028        3.48       25.86     0.01993
        1368          11          49       34.87          22          24       7.668       5.018       27.06     0.07606
        1379          11          49       33.61          22          24       7.103       4.139       27.31     0.05489
        1388          11          49       40.85          22          24       6.476       3.549       27.73      0.1005
        1391          11          49       40.44          22          24       6.394       3.404       28.94      0.2578
        1392          11          49       36.01          22          24       6.322       3.922       27.93      0.1055
        1394          11          49       30.15          22          24       6.246        3.51       26.79      0.1674
        1409          11          49       33.65          22          24       10.23       4.763       26.45     0.06093
        1411          11          49       31.34          22          24       5.018       6.726       27.08     0.08137
        1412          11          49       31.35          22          24       3.035       4.372       27.69      0.1123
        1418          11          49       40.96          22          24       5.195       4.385       27.08     0.05539
        1423          11          49       32.87          22          24        4.95        4.91       26.79     0.08191
        1424          11          49       32.83          22          24       4.673       5.662       27.74      0.1054
        1425          11          49       30.65          22          24       4.892       3.871       26.72      0.1111
        1426          11          49       32.93          22          24       4.784       3.915       27.22     0.05049
        1427          11          49        39.2          22          24       4.936       3.346       28.72      0.1998
        1429          11          49       38.07          22          24        4.73       6.037       27.93     0.09473
        1434          11          49       32.89          22          24       12.69       2.566       22.21     0.01759
        1436          11          49       35.96          22          24       4.338       4.984       27.88     0.08735
        1438          11          49       32.05          22          24       4.144       3.108       27.11     0.04922
        1440          11          49       39.49          22          24       4.046        4.79       27.08     0.04371
        1453          11          49       40.77          22          24       3.352       5.732       27.61      0.1434
        1454          11          49       36.78          22          24       3.114       3.345       28.02     0.09962
